period,programme,scheme,scheme_description,basis,nationality_code,nationality,recipients
2014Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,03,United Kingdom,2771
2014Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),262
2014Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),791
2014Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,06,Other nationals,510
2014Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,00,All,59834
2014Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,01,Irish nationals,58250
2014Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,03,United Kingdom,1248
2014Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),154
2014Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),77
2014Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,06,Other nationals,105
2014Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,00,All,80585
2014Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,01,Irish nationals,55885
2014Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,03,United Kingdom,3939
2014Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1164
2014Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),14732
2014Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,06,Other nationals,4865
2014Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,00,All,32184
2014Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,01,Irish nationals,26336
2014Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,03,United Kingdom,687
2014Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),620
2014Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),3833
2014Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,06,Other nationals,708
2014Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,00,All,81185
2014Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,01,Irish nationals,70606
2014Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,03,United Kingdom,2955
2014Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),505
2014Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),5198
2014Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,06,Other nationals,1921
2014Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,00,All,339000
2014Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,01,Irish nationals,283573
2014Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,03,United Kingdom,13673
2014Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),2708
2014Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),32261
2014Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,06,Other nationals,6785
2014Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,00,All,88629
2014Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,01,Irish nationals,72361
2014Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,03,United Kingdom,2589
2014Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1582
2014Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),11059
2014Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,06,Other nationals,1038
2014Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,00,All,1098
2014Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,01,Irish nationals,826
2014Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,03,United Kingdom,103
2014Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),19
2014Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),124
2014Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,06,Other nationals,26
2014Q2,Children,CB,Child Benefit,Social Assistance,00,All,624463
2014Q2,Children,CB,Child Benefit,Social Assistance,01,Irish nationals,515869
2014Q2,Children,CB,Child Benefit,Social Assistance,03,United Kingdom,22236
2014Q2,Children,CB,Child Benefit,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),8266
2014Q2,Children,CB,Child Benefit,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),58588
2014Q2,Children,CB,Child Benefit,Social Assistance,06,Other nationals,19504
2014Q2,Children,FIS,Family Income Supplement,Social Assistance,00,All,49477
2014Q2,Children,FIS,Family Income Supplement,Social Assistance,01,Irish nationals,35815
2014Q2,Children,FIS,Family Income Supplement,Social Assistance,03,United Kingdom,1719
2014Q2,Children,FIS,Family Income Supplement,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),517
2014Q2,Children,FIS,Family Income Supplement,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),10045
2014Q2,Children,FIS,Family Income Supplement,Social Assistance,06,Other nationals,1381
2014Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,00,All,59160
2014Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,01,Irish nationals,54923
2014Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,03,United Kingdom,2507
2014Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),185
2014Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),964
2014Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,06,Other nationals,581
2014Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,00,All,1708
2014Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,01,Irish nationals,1554
2014Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,03,United Kingdom,53
2014Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),10
2014Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),69
2014Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,06,Other nationals,22
2014Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,00,All,94613
2014Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,01,Irish nationals,83732
2014Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,03,United Kingdom,2569
2014Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),759
2014Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),6717
2014Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,06,Other nationals,836
2014Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,00,All,110063
2014Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,01,Irish nationals,101731
2014Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,03,United Kingdom,4575
2014Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),458
2014Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),2333
2014Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,06,Other nationals,966
2014Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,00,All,54587
2014Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,01,Irish nationals,52846
2014Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,03,United Kingdom,1113
2014Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),141
2014Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),400
2014Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,06,Other nationals,87
2014Q2,Pensions,SPC,State Pension Contributory,Social Insurance,00,All,338504
2014Q2,Pensions,SPC,State Pension Contributory,Social Insurance,01,Irish nationals,329427
2014Q2,Pensions,SPC,State Pension Contributory,Social Insurance,03,United Kingdom,6675
2014Q2,Pensions,SPC,State Pension Contributory,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1116
2014Q2,Pensions,SPC,State Pension Contributory,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),190
2014Q2,Pensions,SPC,State Pension Contributory,Social Insurance,06,Other nationals,1096
2014Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,00,All,96894
2014Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,01,Irish nationals,91361
2014Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,03,United Kingdom,4218
2014Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),373
2014Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),393
2014Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,06,Other nationals,549
2014Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,00,All,119087
2014Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,01,Irish nationals,115343
2014Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,03,United Kingdom,2299
2014Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),361
2014Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),601
2014Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,06,Other nationals,483
2014Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,00,All,38150
2014Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,01,Irish nationals,33753
2014Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,03,United Kingdom,2816
2014Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),266
2014Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),797
2014Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,06,Other nationals,518
2014Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,00,All,61157
2014Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,01,Irish nationals,59534
2014Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,03,United Kingdom,1284
2014Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),164
2014Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),73
2014Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,06,Other nationals,102
2014Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,00,All,78514
2014Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,01,Irish nationals,54274
2014Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,03,United Kingdom,3827
2014Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1145
2014Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),14360
2014Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,06,Other nationals,4908
2014Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,00,All,31148
2014Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,01,Irish nationals,25323
2014Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,03,United Kingdom,637
2014Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),623
2014Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),3829
2014Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,06,Other nationals,736
2014Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,00,All,80525
2014Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,01,Irish nationals,69941
2014Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,03,United Kingdom,2907
2014Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),506
2014Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),5216
2014Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,06,Other nationals,1955
2014Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,00,All,348163
2014Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,01,Irish nationals,291358
2014Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,03,United Kingdom,14006
2014Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),2861
2014Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),32552
2014Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,06,Other nationals,7386
2014Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,00,All,80876
2014Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,01,Irish nationals,67147
2014Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,03,United Kingdom,2327
2014Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),1277
2014Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),9174
2014Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,06,Other nationals,951
2014Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,00,All,1779
2014Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,01,Irish nationals,1430
2014Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,03,United Kingdom,145
2014Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),22
2014Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),146
2014Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,06,Other nationals,36
2014Q3,Children,CB,Child Benefit,Social Assistance,00,All,618686
2014Q3,Children,CB,Child Benefit,Social Assistance,01,Irish nationals,509881
2014Q3,Children,CB,Child Benefit,Social Assistance,03,United Kingdom,21800
2014Q3,Children,CB,Child Benefit,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),8364
2014Q3,Children,CB,Child Benefit,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),59034
2014Q3,Children,CB,Child Benefit,Social Assistance,06,Other nationals,19607
2014Q3,Children,FIS,Family Income Supplement,Social Assistance,00,All,52084
2014Q3,Children,FIS,Family Income Supplement,Social Assistance,01,Irish nationals,37699
2014Q3,Children,FIS,Family Income Supplement,Social Assistance,03,United Kingdom,1799
2014Q3,Children,FIS,Family Income Supplement,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),550
2014Q3,Children,FIS,Family Income Supplement,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),10593
2014Q3,Children,FIS,Family Income Supplement,Social Assistance,06,Other nationals,1443
2014Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,00,All,59874
2014Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,01,Irish nationals,55512
2014Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,03,United Kingdom,2548
2014Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),192
2014Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),1018
2014Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,06,Other nationals,604
2014Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,00,All,1920
2014Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,01,Irish nationals,1750
2014Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,03,United Kingdom,59
2014Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),10
2014Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),75
2014Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,06,Other nationals,26
2014Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,00,All,93023
2014Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,01,Irish nationals,82077
2014Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,03,United Kingdom,2496
2014Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),746
2014Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),6855
2014Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,06,Other nationals,849
2014Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,00,All,112403
2014Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,01,Irish nationals,103627
2014Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,03,United Kingdom,4708
2014Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),467
2014Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,05,EU15 to EU27(accession countries joined post 2004),2571
2014Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,06,Other nationals,1030
2014Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,00,All,55000
2014Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,01,Irish nationals,53164
2014Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,03,United Kingdom,1152
2014Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,04,EU14 exl Irl(countries in the EU pre 2004 excluding Ireland),149
2014Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,05,EU15 to EU27(accession countries joined post 2004),445
2014Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,06,Other nationals,90
2014Q3,Pensions,SPC,State Pension Contributory,Social Insurance,00,All,342765
2014Q3,Pensions,SPC,State Pension Contributory,Social Insurance,01,Irish nationals,333427
2014Q3,Pensions,SPC,State Pension Contributory,Social Insurance,03,United Kingdom,6830
